,ticker,fiscal_period,fiscal_year,fiscal_date,revenue,gross_profit,unit
0,NVDA,Q3,2024,2023-11-21,18120000000.0,13400000000.0,USD
1,NVDA,Q2,2024,2023-08-28,13507000000.0,9462000000.0,USD
2,NVDA,Q1,2024,2023-05-26,7192000000.0,4648000000.0,USD
3,NVDA,FY,2023,2023-02-24,26974000000.0,15356000000.0,USD
4,NVDA,Q3,2023,2022-11-18,5931000000.0,3177000000.0,USD
5,NVDA,Q2,2023,2022-08-31,6704000000.0,2915000000.0,USD
6,NVDA,Q1,2023,2022-05-27,8288000000.0,5431000000.0,USD
7,NVDA,FY,2022,2022-03-18,26914000000.0,17475000000.0,USD
8,INTC,Q2,2023,2023-07-28,12949000000.0,4638000000.0,USD
9,INTC,Q1,2023,2023-04-28,11715000000.0,4008000000.0,USD
10,INTC,FY,2022,2023-01-27,63054000000.0,26866000000.0,USD
11,INTC,Q3,2022,2022-10-28,15338000000.0,6535000000.0,USD
12,INTC,Q2,2022,2022-07-29,15321000000.0,5587000000.0,USD
13,INTC,Q1,2022,2022-04-29,18353000000.0,9244000000.0,USD
14,INTC,FY,2021,2022-01-27,79024000000.0,43815000000.0,USD
15,AVGO,Q3,2023,2023-09-06,8876000000.0,6164000000.0,USD
16,AVGO,Q2,2023,2023-06-07,8733000000.0,6115000000.0,USD
17,AVGO,Q1,2023,2023-03-08,8915000000.0,6004000000.0,USD
18,AVGO,FY,2022,2022-12-16,33203000000.0,22095000000.0,USD
19,AVGO,Q3,2022,2022-09-08,8464000000.0,5681000000.0,USD
20,AVGO,Q2,2022,2022-06-09,8103000000.0,5439000000.0,USD
21,AVGO,Q1,2022,2022-03-10,7706000000.0,5049000000.0,USD
22,TXN,Q3,2023,2023-10-25,4532000000.0,2815000000.0,USD
23,TXN,Q2,2023,2023-07-26,4531000000.0,2910000000.0,USD
24,TXN,Q1,2023,2023-04-26,4379000000.0,2863000000.0,USD
25,TXN,FY,2022,2023-02-03,20028000000.0,13771000000.0,USD
26,TXN,Q3,2022,2022-10-26,5241000000.0,3617000000.0,USD
27,TXN,Q2,2022,2022-07-27,5212000000.0,3625000000.0,USD
28,TXN,Q1,2022,2022-04-27,4905000000.0,3442000000.0,USD
29,TXN,FY,2021,2022-02-04,18344000000.0,12376000000.0,USD
30,QCOM,FY,2023,2023-11-01,35820000000.0,19951000000.0,USD
31,QCOM,Q3,2023,2023-08-02,8451000000.0,4659000000.0,USD
32,QCOM,Q2,2023,2023-05-03,9275000000.0,5122000000.0,USD
33,QCOM,Q1,2023,2023-02-02,9463000000.0,5419000000.0,USD
34,QCOM,FY,2022,2022-11-02,44200000000.0,25565000000.0,USD
35,QCOM,Q3,2022,2022-07-27,10936000000.0,6120000000.0,USD
36,QCOM,Q2,2022,2022-04-27,11164000000.0,6516000000.0,USD
37,QCOM,Q1,2022,2022-02-02,10705000000.0,6402000000.0,USD
38,AMAT,Q3,2023,2023-08-24,6425000000.0,2976000000.0,USD
39,AMAT,Q2,2023,2023-05-26,6630000000.0,3094000000.0,USD
40,AMAT,Q1,2023,2023-02-23,6739000000.0,3145000000.0,USD
41,AMAT,FY,2022,2022-12-16,25785000000.0,11993000000.0,USD
42,AMAT,Q3,2022,2022-08-25,6520000000.0,3006000000.0,USD
43,AMAT,Q2,2022,2022-05-26,6245000000.0,2927000000.0,USD
44,AMAT,Q1,2022,2022-02-24,6271000000.0,2959000000.0,USD
45,MU,FY,2023,2023-10-06,15540000000.0,-1416000000.0,USD
46,MU,Q3,2023,2023-06-29,3752000000.0,-668000000.0,USD
47,MU,Q2,2023,2023-03-29,3693000000.0,-1206000000.0,USD
48,MU,Q1,2023,2022-12-22,4085000000.0,893000000.0,USD
49,MU,FY,2022,2022-10-07,30758000000.0,13898000000.0,USD
50,MU,Q3,2022,2022-07-01,8642000000.0,4035000000.0,USD
51,MU,Q2,2022,2022-03-30,7786000000.0,3676000000.0,USD
52,MU,Q1,2022,2022-01-06,7687000000.0,3565000000.0,USD
53,AMD,Q3,2023,2023-11-01,5800000000.0,2747000000.0,USD
54,AMD,Q2,2023,2023-08-02,5359000000.0,2443000000.0,USD
55,AMD,Q1,2023,2023-05-03,5353000000.0,2359000000.0,USD
56,AMD,FY,2022,2023-02-27,23601000000.0,10603000000.0,USD
57,AMD,Q3,2022,2022-11-02,5565000000.0,2354000000.0,USD
58,AMD,Q2,2022,2022-08-03,6550000000.0,3028000000.0,USD
59,AMD,Q1,2022,2022-05-04,5887000000.0,2818000000.0,USD
60,AMD,FY,2021,2022-02-03,16434000000.0,7929000000.0,USD
